,model,rt,error,size_condition,cat_condition,rand_condition,block_type
0,0,0.9425374,1.0,s_ma,c_ma,c_ms,blocked
1,0,0.708104,0.0,s_ma,c_ma,c_ma,blocked
2,0,0.43909702,0.0,s_ma,c_ma,c_ms,blocked
3,0,0.20086685,0.0,s_ma,c_ma,c_ms,blocked
4,0,1.1489186,0.0,s_ms,c_ma,c_ms,blocked
5,0,0.39900744,1.0,s_ms,c_ma,c_ma,blocked
6,0,1.0362493,0.0,s_ms,c_ma,c_ma,blocked
7,0,0.74224365,0.0,s_ms,c_ma,c_ms,blocked
8,0,2.2458773,0.0,s_ms,c_ma,c_ma,blocked
9,0,1.0767736,1.0,s_ma,c_ms,c_ma,blocked
10,0,1.038684,0.0,s_ma,c_ms,c_ms,blocked
11,0,1.3146392,1.0,s_ma,c_ms,c_ms,blocked
12,0,0.6749389,0.0,s_ma,c_ms,c_ma,blocked
13,0,1.3635784,1.0,s_ma,c_ms,c_ma,blocked
14,0,1.579971,1.0,s_ms,c_ms,c_ms,blocked
15,0,0.50090855,0.0,s_ms,c_ms,c_ma,blocked
16,0,0.16255519,0.0,s_ms,c_ms,c_ms,blocked
17,0,0.57649994,0.0,s_ms,c_ms,c_ma,blocked
18,0,1.3742912,1.0,s_ms,c_ms,c_ms,blocked
19,0,1.3191648,0.0,s_ma,c_ma,c_ms,blocked
20,0,0.77154994,1.0,s_ma,c_ma,c_ms,blocked
21,0,0.399101,0.0,s_ma,c_ma,c_ma,blocked
22,0,1.6745198,0.0,s_ma,c_ma,c_ma,blocked
23,0,1.1726339,0.0,s_ms,c_ma,c_ma,blocked
24,0,1.9222486,0.0,s_ms,c_ma,c_ms,blocked
25,0,1.0544944,1.0,s_ms,c_ma,c_ms,blocked
26,0,1.282484,0.0,s_ms,c_ma,c_ma,blocked
27,0,1.0333073,0.0,s_ms,c_ma,c_ms,blocked
28,0,1.0463154,0.0,s_ma,c_ms,c_ms,blocked
29,0,0.87601674,1.0,s_ma,c_ms,c_ma,blocked
30,0,0.3398015,1.0,s_ma,c_ms,c_ma,blocked
31,0,0.9873301,1.0,s_ma,c_ms,c_ms,blocked
32,0,0.40507257,1.0,s_ma,c_ms,c_ms,blocked
33,0,0.256154,0.0,s_ms,c_ms,c_ma,blocked
34,0,1.4291238,0.0,s_ms,c_ms,c_ms,blocked
