model,epoch,loss,threshold,weights_path
ISC,0,0.25703850388526917,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,1,0.24942897260189056,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,2,0.24661016464233398,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,3,0.24958962202072144,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,4,0.24613387882709503,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,5,0.24433526396751404,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,6,0.24276289343833923,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,7,0.23553651571273804,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,8,0.23323658108711243,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,9,0.2397085577249527,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,10,0.23714400827884674,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,11,0.22864475846290588,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,12,0.22273582220077515,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,13,0.21584780514240265,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,14,0.22002936899662018,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,15,0.2061878740787506,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,16,0.20346210896968842,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,17,0.21094363927841187,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,18,0.18984325230121613,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,19,0.1886364370584488,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,20,0.18565112352371216,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,21,0.18022875487804413,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,22,0.18097572028636932,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,23,0.18414074182510376,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
ISC,24,0.17844094336032867,0.18,models/ablation_learning_curve_isc_model-0-bhvsim.torch
MLP,0,0.5000007748603821,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
MLP,1,0.5000223517417908,0.18,models/ablation_learning_curve_mlp_model-0-bhvsim.torch
