model,epoch,size_error,bce_loss,threshold,weights_path
ISC,0,0.2570394277572632,0.0005716831656172872,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,1,0.2550217807292938,0.00035285146441310644,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,2,0.25199976563453674,0.00030214223079383373,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,3,0.24726605415344238,0.0002681081532500684,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,4,0.2434510886669159,0.00024444106384180486,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,5,0.24006448686122894,0.0002388069115113467,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,6,0.23975224792957306,0.0002449546300340444,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,7,0.23745989799499512,0.00024820881662890315,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,8,0.23550257086753845,0.00024838667013682425,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,9,0.2298310399055481,0.0002351501607336104,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,10,0.2212088406085968,0.0002102937869494781,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,11,0.21500976383686066,0.00020531052723526955,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,12,0.22750040888786316,0.00027156222495250404,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,13,0.22520288825035095,0.000272246019449085,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,14,0.20709578692913055,0.00020108511671423912,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,15,0.19865871965885162,0.00019084558880422264,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,16,0.20335805416107178,0.00020858920470345765,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,17,0.20854337513446808,0.0002525528543628752,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,18,0.19077318906784058,0.00017674097034614533,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,19,0.1894177347421646,0.00018809831817634404,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,20,0.21153967082500458,0.00028484396170824766,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,21,0.18512888252735138,0.0001828734384616837,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,22,0.18103362619876862,0.00017000937077682465,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
ISC,23,0.17917609214782715,0.0001742286403896287,0.18,models/ablation_learning_curve_bce_isc_model-0-bhvsim.torch
MLP,0,0.4999980628490448,0.6935132741928101,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,1,0.49996834993362427,0.0005407886928878725,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,2,0.49969813227653503,0.0005035628564655781,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,3,0.4992947280406952,0.0004792644758708775,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
MLP,4,0.4982905387878418,0.00048580451402813196,0.18,models/ablation_learning_curve_bce_mlp_model-0-bhvsim.torch
