,model,acc,curriculum
0,0,1.0,non-sequential
1,0,1.0,non-sequential
2,0,1.0,non-sequential
3,0,1.0,non-sequential
4,0,1.0,non-sequential
5,0,1.0,non-sequential
6,0,0.0,non-sequential
7,0,1.0,non-sequential
8,0,1.0,non-sequential
9,0,1.0,non-sequential
10,0,1.0,non-sequential
11,0,1.0,non-sequential
12,0,1.0,non-sequential
13,0,1.0,non-sequential
14,0,1.0,non-sequential
15,0,1.0,non-sequential
16,0,1.0,non-sequential
17,0,1.0,non-sequential
18,0,1.0,non-sequential
19,0,1.0,non-sequential
20,0,1.0,non-sequential
21,0,1.0,non-sequential
22,0,1.0,non-sequential
23,0,0.0,non-sequential
24,0,1.0,non-sequential
25,0,1.0,non-sequential
26,0,1.0,non-sequential
27,0,1.0,non-sequential
28,0,1.0,non-sequential
29,0,1.0,non-sequential
30,0,1.0,non-sequential
31,0,1.0,non-sequential
32,0,1.0,non-sequential
33,0,0.0,non-sequential
34,0,1.0,non-sequential
35,0,0.0,non-sequential
36,0,0.0,non-sequential
37,0,1.0,non-sequential
38,0,1.0,non-sequential
39,0,1.0,non-sequential
40,0,1.0,non-sequential
41,0,1.0,non-sequential
42,0,1.0,non-sequential
43,0,1.0,non-sequential
44,0,1.0,non-sequential
45,0,0.0,non-sequential
46,0,1.0,non-sequential
47,0,1.0,non-sequential
48,0,1.0,non-sequential
49,0,1.0,non-sequential
50,0,1.0,non-sequential
51,0,1.0,non-sequential
52,0,0.0,non-sequential
53,0,1.0,non-sequential
54,0,1.0,non-sequential
55,0,1.0,non-sequential
56,0,1.0,non-sequential
57,0,1.0,non-sequential
58,0,1.0,non-sequential
59,0,1.0,non-sequential
60,0,1.0,non-sequential
61,0,1.0,non-sequential
62,0,0.0,non-sequential
63,0,1.0,non-sequential
64,0,0.0,non-sequential
65,0,0.0,non-sequential
66,0,1.0,non-sequential
67,0,1.0,non-sequential
68,0,1.0,non-sequential
69,0,1.0,non-sequential
70,0,1.0,non-sequential
71,0,1.0,non-sequential
72,0,0.0,non-sequential
73,0,1.0,non-sequential
74,0,0.0,non-sequential
75,0,0.0,non-sequential
76,0,1.0,non-sequential
77,0,1.0,non-sequential
78,0,1.0,non-sequential
79,0,1.0,non-sequential
80,0,1.0,non-sequential
81,0,1.0,non-sequential
82,0,1.0,non-sequential
83,0,1.0,non-sequential
84,0,1.0,non-sequential
85,0,1.0,non-sequential
86,0,1.0,non-sequential
87,0,1.0,non-sequential
88,0,1.0,non-sequential
89,0,1.0,non-sequential
90,0,1.0,non-sequential
91,0,1.0,non-sequential
92,0,1.0,non-sequential
93,0,0.0,non-sequential
94,0,1.0,non-sequential
95,0,1.0,non-sequential
96,0,1.0,non-sequential
97,0,0.0,non-sequential
98,0,0.0,non-sequential
99,0,1.0,non-sequential
100,0,1.0,non-sequential
101,0,1.0,non-sequential
102,0,1.0,non-sequential
103,0,1.0,non-sequential
104,0,0.0,non-sequential
105,0,0.0,non-sequential
106,0,1.0,non-sequential
107,0,0.0,non-sequential
108,0,0.0,non-sequential
109,0,1.0,non-sequential
110,0,1.0,non-sequential
111,0,1.0,non-sequential
112,0,1.0,non-sequential
113,0,1.0,non-sequential
114,0,0.0,non-sequential
115,0,0.0,non-sequential
116,0,0.0,non-sequential
117,0,1.0,non-sequential
118,0,0.0,non-sequential
119,0,1.0,non-sequential
120,0,1.0,non-sequential
121,0,1.0,non-sequential
122,0,1.0,non-sequential
123,0,0.0,non-sequential
124,0,0.0,non-sequential
125,0,0.0,non-sequential
126,0,1.0,non-sequential
127,0,0.0,non-sequential
128,0,1.0,non-sequential
129,0,1.0,non-sequential
130,0,1.0,non-sequential
131,0,1.0,non-sequential
132,0,1.0,non-sequential
133,0,1.0,non-sequential
134,0,0.0,non-sequential
135,0,0.0,non-sequential
136,0,0.0,non-sequential
137,0,0.0,non-sequential
138,0,1.0,non-sequential
139,0,1.0,non-sequential
140,0,1.0,non-sequential
141,0,1.0,non-sequential
142,0,1.0,non-sequential
143,0,1.0,non-sequential
144,0,0.0,non-sequential
145,0,1.0,non-sequential
146,0,1.0,non-sequential
147,0,1.0,non-sequential
148,0,1.0,non-sequential
149,0,1.0,non-sequential
150,0,1.0,non-sequential
151,0,1.0,non-sequential
152,0,0.0,non-sequential
153,0,1.0,non-sequential
154,0,1.0,non-sequential
155,0,1.0,non-sequential
156,0,0.0,non-sequential
157,0,1.0,non-sequential
158,0,1.0,non-sequential
159,0,1.0,non-sequential
160,0,1.0,non-sequential
161,0,0.0,non-sequential
162,0,0.0,non-sequential
163,0,1.0,non-sequential
164,0,1.0,non-sequential
165,0,0.0,non-sequential
166,0,1.0,non-sequential
167,0,1.0,non-sequential
168,0,1.0,non-sequential
169,0,1.0,non-sequential
170,0,1.0,non-sequential
171,0,0.0,non-sequential
172,0,1.0,non-sequential
173,0,0.0,non-sequential
174,0,1.0,non-sequential
175,0,0.0,non-sequential
176,0,1.0,non-sequential
177,0,1.0,non-sequential
178,0,1.0,non-sequential
179,0,1.0,non-sequential
180,0,0.0,non-sequential
181,0,0.0,non-sequential
182,0,0.0,non-sequential
183,0,0.0,non-sequential
184,0,1.0,non-sequential
185,0,1.0,non-sequential
186,0,1.0,non-sequential
187,0,1.0,non-sequential
188,0,1.0,non-sequential
189,0,1.0,non-sequential
190,0,1.0,non-sequential
191,0,1.0,non-sequential
192,0,1.0,non-sequential
193,0,1.0,non-sequential
194,0,1.0,non-sequential
195,0,1.0,non-sequential
196,0,1.0,non-sequential
197,0,0.0,non-sequential
198,0,1.0,non-sequential
199,0,1.0,non-sequential
200,0,1.0,non-sequential
201,0,1.0,non-sequential
202,0,1.0,non-sequential
203,0,1.0,non-sequential
204,0,1.0,non-sequential
205,0,0.0,non-sequential
206,0,1.0,non-sequential
207,0,0.0,non-sequential
208,0,1.0,non-sequential
209,0,1.0,non-sequential
210,0,1.0,non-sequential
211,0,1.0,non-sequential
212,0,1.0,non-sequential
213,0,1.0,non-sequential
214,0,1.0,non-sequential
215,0,1.0,non-sequential
216,0,1.0,non-sequential
217,0,1.0,non-sequential
218,0,1.0,non-sequential
219,0,1.0,non-sequential
220,0,1.0,non-sequential
221,0,1.0,non-sequential
222,0,1.0,non-sequential
223,0,1.0,non-sequential
224,0,1.0,non-sequential
225,0,1.0,non-sequential
226,0,0.0,non-sequential
227,0,0.0,non-sequential
228,0,1.0,non-sequential
229,0,1.0,non-sequential
230,0,1.0,non-sequential
231,0,1.0,non-sequential
232,0,1.0,non-sequential
233,0,1.0,non-sequential
234,0,1.0,non-sequential
235,0,1.0,non-sequential
236,0,0.0,non-sequential
237,0,1.0,non-sequential
238,0,1.0,non-sequential
239,0,1.0,non-sequential
240,0,1.0,non-sequential
241,0,1.0,non-sequential
242,0,1.0,non-sequential
243,0,0.0,non-sequential
244,0,1.0,non-sequential
245,0,1.0,non-sequential
246,0,1.0,non-sequential
247,0,1.0,non-sequential
248,0,1.0,non-sequential
249,0,1.0,non-sequential
250,0,1.0,non-sequential
251,0,1.0,non-sequential
252,0,1.0,non-sequential
253,0,1.0,non-sequential
254,0,1.0,non-sequential
255,0,1.0,non-sequential
256,0,1.0,non-sequential
257,0,1.0,non-sequential
258,0,1.0,non-sequential
259,0,1.0,non-sequential
260,0,1.0,non-sequential
261,0,1.0,non-sequential
262,0,0.0,non-sequential
263,0,1.0,non-sequential
264,0,0.0,non-sequential
265,0,1.0,non-sequential
266,0,1.0,non-sequential
267,0,1.0,non-sequential
268,0,1.0,non-sequential
269,0,1.0,non-sequential
270,0,1.0,non-sequential
271,0,1.0,non-sequential
272,0,1.0,non-sequential
273,0,0.0,non-sequential
274,0,1.0,non-sequential
275,0,0.0,non-sequential
276,0,1.0,non-sequential
277,0,1.0,non-sequential
278,0,1.0,non-sequential
279,0,1.0,non-sequential
280,0,0.0,non-sequential
281,0,1.0,non-sequential
282,0,0.0,non-sequential
283,0,1.0,non-sequential
284,0,1.0,non-sequential
285,0,0.0,non-sequential
286,0,1.0,non-sequential
287,0,1.0,non-sequential
288,0,0.0,non-sequential
289,0,0.0,non-sequential
290,0,1.0,non-sequential
291,0,1.0,non-sequential
292,0,1.0,non-sequential
293,0,1.0,non-sequential
294,0,1.0,non-sequential
295,0,1.0,non-sequential
296,0,0.0,non-sequential
