model,acc,architecture,condition,lr_hebb
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,0.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
0,1.0,Hebbian,interleaved,0.01
