model,trial,condition,mae,error,block_type,size_condition,cat_condition,random_cat_condition
0,0,supplied context,4.492474545259029e-06,0.0,blocked,s_ma,c_ma,c_ms
0,0,zero context,4.83160283692996e-06,0.0,blocked,s_ma,c_ma,c_ms
0,0,error-gated replacement,4.492474545259029e-06,0.0,blocked,s_ma,c_ma,c_ms
0,1,supplied context,3.5951172776549356e-06,0.0,blocked,s_ma,c_ma,c_ma
0,1,zero context,3.097840135524166e-06,0.0,blocked,s_ma,c_ma,c_ma
0,1,error-gated replacement,3.5951172776549356e-06,0.0,blocked,s_ma,c_ma,c_ma
0,2,supplied context,9.048337233252823e-06,0.0,blocked,s_ma,c_ma,c_ms
0,2,zero context,1.2075422091584187e-05,0.0,blocked,s_ma,c_ma,c_ms
0,2,error-gated replacement,9.048337233252823e-06,0.0,blocked,s_ma,c_ma,c_ms
0,3,supplied context,8.385426554013975e-06,0.0,blocked,s_ma,c_ma,c_ms
0,3,zero context,8.682043699081987e-06,0.0,blocked,s_ma,c_ma,c_ms
0,3,error-gated replacement,8.385426554013975e-06,0.0,blocked,s_ma,c_ma,c_ms
0,4,supplied context,0.3168679177761078,0.0,blocked,s_ms,c_ma,c_ms
0,4,zero context,0.09464116394519806,0.0,blocked,s_ms,c_ma,c_ms
0,4,error-gated replacement,0.3168679177761078,0.0,blocked,s_ms,c_ma,c_ms
0,5,supplied context,0.4200579524040222,0.0,blocked,s_ms,c_ma,c_ma
0,5,zero context,0.17413213849067688,0.0,blocked,s_ms,c_ma,c_ma
0,5,error-gated replacement,0.4200579524040222,0.0,blocked,s_ms,c_ma,c_ma
0,6,supplied context,0.2591123580932617,0.0,blocked,s_ms,c_ma,c_ma
0,6,zero context,0.19967219233512878,0.0,blocked,s_ms,c_ma,c_ma
0,6,error-gated replacement,0.2591123580932617,0.0,blocked,s_ms,c_ma,c_ma
0,7,supplied context,0.12940923869609833,0.0,blocked,s_ms,c_ma,c_ms
0,7,zero context,0.18811962008476257,0.0,blocked,s_ms,c_ma,c_ms
0,7,error-gated replacement,0.12940923869609833,0.0,blocked,s_ms,c_ma,c_ms
0,8,supplied context,0.164198100566864,0.0,blocked,s_ms,c_ma,c_ma
0,8,zero context,0.22025161981582642,0.0,blocked,s_ms,c_ma,c_ma
0,8,error-gated replacement,0.164198100566864,0.0,blocked,s_ms,c_ma,c_ma
0,9,supplied context,7.497662409150507e-06,0.0,blocked,s_ma,c_ms,c_ma
0,9,zero context,6.084470896894345e-06,0.0,blocked,s_ma,c_ms,c_ma
0,9,error-gated replacement,7.497662409150507e-06,0.0,blocked,s_ma,c_ms,c_ma
0,10,supplied context,0.0012498219730332494,0.0,blocked,s_ma,c_ms,c_ms
0,10,zero context,0.0006528248195536435,0.0,blocked,s_ma,c_ms,c_ms
0,10,error-gated replacement,0.0012498219730332494,0.0,blocked,s_ma,c_ms,c_ms
0,11,supplied context,4.2309788113925606e-05,0.0,blocked,s_ma,c_ms,c_ms
0,11,zero context,4.316583726904355e-05,0.0,blocked,s_ma,c_ms,c_ms
0,11,error-gated replacement,4.2309788113925606e-05,0.0,blocked,s_ma,c_ms,c_ms
0,12,supplied context,6.81522260492784e-06,0.0,blocked,s_ma,c_ms,c_ma
0,12,zero context,6.727239451720379e-06,0.0,blocked,s_ma,c_ms,c_ma
0,12,error-gated replacement,6.81522260492784e-06,0.0,blocked,s_ma,c_ms,c_ma
0,13,supplied context,7.312681645998964e-06,0.0,blocked,s_ma,c_ms,c_ma
0,13,zero context,5.679635250999127e-06,0.0,blocked,s_ma,c_ms,c_ma
0,13,error-gated replacement,7.312681645998964e-06,0.0,blocked,s_ma,c_ms,c_ma
0,14,supplied context,0.14064782857894897,0.0,blocked,s_ms,c_ms,c_ms
0,14,zero context,0.16749168932437897,0.0,blocked,s_ms,c_ms,c_ms
0,14,error-gated replacement,0.14064782857894897,0.0,blocked,s_ms,c_ms,c_ms
0,15,supplied context,0.17358115315437317,0.0,blocked,s_ms,c_ms,c_ma
