model,trial,training_condition,pathway,mae,error
0,0,blocked,supplied context,1.3476809668233614e-09,0.0
0,0,blocked,zero context,1.4223953126446531e-09,0.0
0,0,blocked,error-gated replacement,1.3476809668233614e-09,0.0
0,1,blocked,supplied context,4.857204860542197e-09,0.0
0,1,blocked,zero context,4.26947988074744e-09,0.0
0,1,blocked,error-gated replacement,4.857204860542197e-09,0.0
0,2,blocked,supplied context,7.749254393729643e-08,0.0
0,2,blocked,zero context,7.500578647068323e-08,0.0
0,2,blocked,error-gated replacement,7.749254393729643e-08,0.0
0,3,blocked,supplied context,2.4908977103166308e-09,0.0
0,3,blocked,zero context,2.338486959629904e-09,0.0
0,3,blocked,error-gated replacement,2.4908977103166308e-09,0.0
0,4,blocked,supplied context,0.02521643415093422,0.0
0,4,blocked,zero context,0.024408427998423576,0.0
0,4,blocked,error-gated replacement,0.02521643415093422,0.0
0,5,blocked,supplied context,0.03072492778301239,0.0
0,5,blocked,zero context,0.032981909811496735,0.0
0,5,blocked,error-gated replacement,0.03072492778301239,0.0
0,6,blocked,supplied context,0.09335417300462723,0.0
0,6,blocked,zero context,0.09383870661258698,0.0
0,6,blocked,error-gated replacement,0.09335417300462723,0.0
0,7,blocked,supplied context,0.15987563133239746,0.0
0,7,blocked,zero context,0.18140754103660583,0.0
0,7,blocked,error-gated replacement,0.15987563133239746,0.0
0,8,blocked,supplied context,0.20200085639953613,0.0
0,8,blocked,zero context,0.2026241421699524,0.0
0,8,blocked,error-gated replacement,0.20200085639953613,0.0
0,9,blocked,supplied context,2.644269025964263e-09,0.0
0,9,blocked,zero context,1.9773822579338685e-09,0.0
0,9,blocked,error-gated replacement,2.644269025964263e-09,0.0
0,10,blocked,supplied context,4.6903048200874764e-07,0.0
0,10,blocked,zero context,4.700416411651531e-07,0.0
0,10,blocked,error-gated replacement,4.6903048200874764e-07,0.0
0,11,blocked,supplied context,8.802478745906228e-09,0.0
0,11,blocked,zero context,9.186254423809714e-09,0.0
0,11,blocked,error-gated replacement,8.802478745906228e-09,0.0
0,12,blocked,supplied context,6.355136417113272e-10,0.0
0,12,blocked,zero context,7.130731560778258e-10,0.0
0,12,blocked,error-gated replacement,6.355136417113272e-10,0.0
0,13,blocked,supplied context,1.5179517642849305e-09,0.0
0,13,blocked,zero context,1.5078981396854374e-09,0.0
0,13,blocked,error-gated replacement,1.5179517642849305e-09,0.0
0,14,blocked,supplied context,0.10107587277889252,0.0
0,14,blocked,zero context,0.11454837024211884,0.0
0,14,blocked,error-gated replacement,0.10107587277889252,0.0
0,15,blocked,supplied context,0.1472586691379547,0.0
0,15,blocked,zero context,0.23857520520687103,0.0
0,15,blocked,error-gated replacement,0.1472586691379547,0.0
0,16,blocked,supplied context,0.19562894105911255,0.0
0,16,blocked,zero context,0.24856221675872803,0.0
0,16,blocked,error-gated replacement,0.19562894105911255,0.0
0,17,blocked,supplied context,0.2548817992210388,0.0
0,17,blocked,zero context,0.28364986181259155,0.0
0,17,blocked,error-gated replacement,0.2548817992210388,0.0
0,18,blocked,supplied context,0.2343953251838684,0.0
0,18,blocked,zero context,0.3249087929725647,0.0
0,18,blocked,error-gated replacement,0.2343953251838684,0.0
0,19,blocked,supplied context,1.4822965077598838e-09,0.0
0,19,blocked,zero context,1.5550905008154814e-09,0.0
0,19,blocked,error-gated replacement,1.4822965077598838e-09,0.0
0,20,blocked,supplied context,9.949565615841038e-09,0.0
0,20,blocked,zero context,7.945826219213359e-09,0.0
0,20,blocked,error-gated replacement,9.949565615841038e-09,0.0
0,21,blocked,supplied context,6.563392052072459e-09,0.0
0,21,blocked,zero context,6.184605272352428e-09,0.0
0,21,blocked,error-gated replacement,6.563392052072459e-09,0.0
0,22,blocked,supplied context,8.432707865324574e-09,0.0
0,22,blocked,zero context,9.032974368494706e-09,0.0
0,22,blocked,error-gated replacement,8.432707865324574e-09,0.0
0,23,blocked,supplied context,0.06413261592388153,0.0
0,23,blocked,zero context,0.07257445156574249,0.0
0,23,blocked,error-gated replacement,0.06413261592388153,0.0
0,24,blocked,supplied context,0.08374883234500885,0.0
0,24,blocked,zero context,0.08803161233663559,0.0
0,24,blocked,error-gated replacement,0.08374883234500885,0.0
0,25,blocked,supplied context,0.13175447285175323,0.0
0,25,blocked,zero context,0.13561668992042542,0.0
0,25,blocked,error-gated replacement,0.13175447285175323,0.0
0,26,blocked,supplied context,0.14255928993225098,0.0
0,26,blocked,zero context,0.14613890647888184,0.0
0,26,blocked,error-gated replacement,0.14255928993225098,0.0
0,27,blocked,supplied context,0.13949289917945862,0.0
0,27,blocked,zero context,0.1517297923564911,0.0
0,27,blocked,error-gated replacement,0.13949289917945862,0.0
0,28,blocked,supplied context,1.8896007247803936e-07,0.0
0,28,blocked,zero context,1.277260395227131e-07,0.0
0,28,blocked,error-gated replacement,1.8896007247803936e-07,0.0
0,29,blocked,supplied context,6.632343030332777e-08,0.0
0,29,blocked,zero context,6.479245939772227e-08,0.0
0,29,blocked,error-gated replacement,6.632343030332777e-08,0.0
0,30,blocked,supplied context,2.7167922667103994e-07,0.0
0,30,blocked,zero context,3.286517085143714e-07,0.0
0,30,blocked,error-gated replacement,2.7167922667103994e-07,0.0
0,31,blocked,supplied context,2.212422689495952e-09,0.0
0,31,blocked,zero context,1.998048171358846e-09,0.0
0,31,blocked,error-gated replacement,2.212422689495952e-09,0.0
0,32,blocked,supplied context,4.791395724623726e-09,0.0
0,32,blocked,zero context,4.9799355750224095e-09,0.0
0,32,blocked,error-gated replacement,4.791395724623726e-09,0.0
0,33,blocked,supplied context,0.19234126806259155,0.0
0,33,blocked,zero context,0.24242351949214935,0.0
0,33,blocked,error-gated replacement,0.19234126806259155,0.0
0,34,blocked,supplied context,0.1742154359817505,0.0
0,34,blocked,zero context,0.28004229068756104,0.0
0,34,blocked,error-gated replacement,0.1742154359817505,0.0
0,35,blocked,supplied context,0.2547701597213745,0.0
0,35,blocked,zero context,0.2810603380203247,0.0
0,35,blocked,error-gated replacement,0.2547701597213745,0.0
0,36,blocked,supplied context,0.24374938011169434,0.0
0,36,blocked,zero context,0.25619930028915405,0.0
0,36,blocked,error-gated replacement,0.24374938011169434,0.0
0,37,blocked,supplied context,0.267468124628067,0.0
0,37,blocked,zero context,0.3725298047065735,0.0
0,37,blocked,error-gated replacement,0.267468124628067,0.0
0,38,blocked,supplied context,5.025076355025249e-09,0.0
0,38,blocked,zero context,4.3781449576840714e-09,0.0
0,38,blocked,error-gated replacement,5.025076355025249e-09,0.0
0,39,blocked,supplied context,1.0671496575298534e-08,0.0
0,39,blocked,zero context,8.44196090810101e-09,0.0
0,39,blocked,error-gated replacement,1.0671496575298534e-08,0.0
0,40,blocked,supplied context,6.500158633571118e-08,0.0
0,40,blocked,zero context,6.555762155358025e-08,0.0
0,40,blocked,error-gated replacement,6.500158633571118e-08,0.0
0,41,blocked,supplied context,9.632163511241743e-09,0.0
0,41,blocked,zero context,1.0271195449718107e-08,0.0
