model,rt,error,size_condition,cat_condition,rand_condition,block_type
0,5.8200703e-06,0.0,s_ma,c_ma,c_ms,blocked
0,4.257977e-06,0.0,s_ma,c_ma,c_ma,blocked
0,4.706133e-05,0.0,s_ma,c_ma,c_ms,blocked
0,2.2055824e-06,0.0,s_ma,c_ma,c_ms,blocked
0,0.37566656,0.0,s_ms,c_ma,c_ms,blocked
0,0.5191704,1.0,s_ms,c_ma,c_ma,blocked
0,0.2696276,0.0,s_ms,c_ma,c_ma,blocked
0,0.4136188,0.0,s_ms,c_ma,c_ms,blocked
0,0.4250519,0.0,s_ms,c_ma,c_ma,blocked
0,3.957846e-06,0.0,s_ma,c_ms,c_ma,blocked
0,0.000165189,0.0,s_ma,c_ms,c_ms,blocked
0,2.1661622e-06,0.0,s_ma,c_ms,c_ms,blocked
0,1.0194992e-06,0.0,s_ma,c_ms,c_ma,blocked
0,9.036413e-07,0.0,s_ma,c_ms,c_ma,blocked
0,0.4762148,0.0,s_ms,c_ms,c_ms,blocked
0,0.23587075,0.0,s_ms,c_ms,c_ma,blocked
0,0.2776459,0.0,s_ms,c_ms,c_ms,blocked
0,0.42394656,0.0,s_ms,c_ms,c_ma,blocked
0,0.17888893,0.0,s_ms,c_ms,c_ms,blocked
0,6.380896e-06,0.0,s_ma,c_ma,c_ms,blocked
0,3.070006e-05,0.0,s_ma,c_ma,c_ms,blocked
0,1.9722478e-05,0.0,s_ma,c_ma,c_ma,blocked
0,7.0004903e-06,0.0,s_ma,c_ma,c_ma,blocked
0,0.4556494,0.0,s_ms,c_ma,c_ma,blocked
0,0.59256244,1.0,s_ms,c_ma,c_ms,blocked
0,0.40778914,0.0,s_ms,c_ma,c_ms,blocked
0,0.5714737,1.0,s_ms,c_ma,c_ma,blocked
0,0.53778094,1.0,s_ms,c_ma,c_ms,blocked
0,2.43852e-05,0.0,s_ma,c_ms,c_ms,blocked
0,4.2260614e-05,0.0,s_ma,c_ms,c_ma,blocked
0,2.9058263e-05,0.0,s_ma,c_ms,c_ma,blocked
0,1.6986334e-05,0.0,s_ma,c_ms,c_ms,blocked
0,7.3583865e-06,0.0,s_ma,c_ms,c_ms,blocked
0,0.55800384,1.0,s_ms,c_ms,c_ma,blocked
0,0.15934053,0.0,s_ms,c_ms,c_ms,blocked
0,0.451006,0.0,s_ms,c_ms,c_ma,blocked
0,0.53372204,1.0,s_ms,c_ms,c_ms,blocked
0,0.349561,0.0,s_ms,c_ms,c_ma,blocked
0,4.650169e-06,0.0,s_ma,c_ma,c_ma,blocked
0,3.3459506e-05,0.0,s_ma,c_ma,c_ms,blocked
0,6.0294096e-06,0.0,s_ma,c_ma,c_ms,blocked
0,1.6333774e-05,0.0,s_ma,c_ma,c_ms,blocked
0,0.36101115,0.0,s_ms,c_ma,c_ms,blocked
0,0.5335238,1.0,s_ms,c_ma,c_ma,blocked
0,0.35995036,0.0,s_ms,c_ma,c_ma,blocked
0,0.54179513,1.0,s_ms,c_ma,c_ms,blocked
0,0.4330815,0.0,s_ms,c_ma,c_ma,blocked
0,4.7759408e-05,0.0,s_ma,c_ms,c_ma,blocked
0,3.6455593e-05,0.0,s_ma,c_ms,c_ms,blocked
0,2.2083332e-05,0.0,s_ma,c_ms,c_ms,blocked
0,7.8713e-05,0.0,s_ma,c_ms,c_ma,blocked
0,1.1143593e-05,0.0,s_ma,c_ms,c_ma,blocked
0,0.4700963,0.0,s_ms,c_ms,c_ms,blocked
0,0.17588498,0.0,s_ms,c_ms,c_ma,blocked
0,0.31909204,0.0,s_ms,c_ms,c_ms,blocked
0,0.42484993,0.0,s_ms,c_ms,c_ma,blocked
0,0.3159117,0.0,s_ms,c_ms,c_ms,blocked
0,5.506609e-05,0.0,s_ma,c_ma,c_ms,blocked
0,1.8813842e-05,0.0,s_ma,c_ma,c_ma,blocked
0,6.043247e-06,0.0,s_ma,c_ma,c_ms,blocked
0,7.47454e-06,0.0,s_ma,c_ma,c_ma,blocked
0,0.3384757,0.0,s_ms,c_ma,c_ma,blocked
0,0.37910652,0.0,s_ms,c_ma,c_ms,blocked
0,0.32678628,0.0,s_ms,c_ma,c_ms,blocked
0,0.4754991,0.0,s_ms,c_ma,c_ma,blocked
0,0.55005574,1.0,s_ms,c_ma,c_ms,blocked
0,6.181898e-05,0.0,s_ma,c_ms,c_ms,blocked
0,2.519933e-05,0.0,s_ma,c_ms,c_ma,blocked
0,5.313116e-05,0.0,s_ma,c_ms,c_ma,blocked
0,9.511588e-06,0.0,s_ma,c_ms,c_ms,blocked
0,1.8994615e-05,0.0,s_ma,c_ms,c_ms,blocked
0,0.541675,1.0,s_ms,c_ms,c_ma,blocked
0,0.29798943,0.0,s_ms,c_ms,c_ms,blocked
0,0.50866777,1.0,s_ms,c_ms,c_ma,blocked
0,0.43706033,0.0,s_ms,c_ms,c_ms,blocked
0,0.39738032,0.0,s_ms,c_ms,c_ma,blocked
0,2.2951083e-06,0.0,s_ma,c_ma,c_ms,blocked
0,6.7526403e-06,0.0,s_ma,c_ma,c_ma,blocked
0,1.5772068e-05,0.0,s_ma,c_ma,c_ms,blocked
0,6.79154e-06,0.0,s_ma,c_ma,c_ma,blocked
