model,epoch,bce,condition,architecture
0,0,0.01843681000173092,interleaved,Hebbian
0,1,0.017720013856887817,interleaved,Hebbian
0,2,0.017404910176992416,interleaved,Hebbian
0,3,0.01705911010503769,interleaved,Hebbian
0,4,0.01671610027551651,interleaved,Hebbian
0,5,0.01634063757956028,interleaved,Hebbian
0,6,0.015931464731693268,interleaved,Hebbian
0,7,0.015168807469308376,interleaved,Hebbian
0,8,0.014539098367094994,interleaved,Hebbian
0,9,0.01386624202132225,interleaved,Hebbian
0,10,0.012907701544463634,interleaved,Hebbian
0,11,0.013838818296790123,interleaved,Hebbian
0,12,0.01327855046838522,interleaved,Hebbian
0,13,0.011891273781657219,interleaved,Hebbian
0,14,0.010873769409954548,interleaved,Hebbian
0,15,0.0107199065387249,interleaved,Hebbian
0,16,0.010137662291526794,interleaved,Hebbian
0,17,0.009793031960725784,interleaved,Hebbian
0,18,0.009340782649815083,interleaved,Hebbian
0,19,0.009168468415737152,interleaved,Hebbian
0,20,0.009607910178601742,interleaved,Hebbian
0,21,0.00938043650239706,interleaved,Hebbian
0,22,0.01050186064094305,interleaved,Hebbian
0,23,0.008940507657825947,interleaved,Hebbian
0,24,0.008761358447372913,interleaved,Hebbian
0,25,0.008564784191548824,interleaved,Hebbian
0,26,0.00883471593260765,interleaved,Hebbian
0,27,0.008509822189807892,interleaved,Hebbian
0,28,0.008743771351873875,interleaved,Hebbian
0,29,0.008319605141878128,interleaved,Hebbian
0,30,0.00850638560950756,interleaved,Hebbian
0,31,0.009704649448394775,interleaved,Hebbian
0,32,0.00841769389808178,interleaved,Hebbian
0,33,0.007963651791214943,interleaved,Hebbian
0,34,0.007806950248777866,interleaved,Hebbian
0,35,0.008285087533295155,interleaved,Hebbian
0,36,0.007858101278543472,interleaved,Hebbian
0,37,0.007921628654003143,interleaved,Hebbian
0,38,0.007697048131376505,interleaved,Hebbian
0,39,0.0076969219371676445,interleaved,Hebbian
0,40,0.007897846400737762,interleaved,Hebbian
1,0,0.024237010627985,interleaved,Hebbian
1,1,0.01736108586192131,interleaved,Hebbian
1,2,0.017125874757766724,interleaved,Hebbian
1,3,0.017009008675813675,interleaved,Hebbian
1,4,0.016850363463163376,interleaved,Hebbian
1,5,0.016539566218852997,interleaved,Hebbian
1,6,0.016416462138295174,interleaved,Hebbian
1,7,0.015547842718660831,interleaved,Hebbian
1,8,0.014864536933600903,interleaved,Hebbian
1,9,0.014979241415858269,interleaved,Hebbian
1,10,0.01490057073533535,interleaved,Hebbian
1,11,0.013877814635634422,interleaved,Hebbian
1,12,0.013593112118542194,interleaved,Hebbian
1,13,0.011758547276258469,interleaved,Hebbian
1,14,0.011058817617595196,interleaved,Hebbian
1,15,0.011261780746281147,interleaved,Hebbian
1,16,0.010547018609941006,interleaved,Hebbian
1,17,0.010969801805913448,interleaved,Hebbian
1,18,0.009598509408533573,interleaved,Hebbian
1,19,0.009712941013276577,interleaved,Hebbian
1,20,0.009103006683290005,interleaved,Hebbian
1,21,0.009413311257958412,interleaved,Hebbian
1,22,0.009600969031453133,interleaved,Hebbian
1,23,0.009393044747412205,interleaved,Hebbian
1,24,0.00902802124619484,interleaved,Hebbian
1,25,0.008627885021269321,interleaved,Hebbian
1,26,0.008740629069507122,interleaved,Hebbian
1,27,0.008430300280451775,interleaved,Hebbian
1,28,0.008494753390550613,interleaved,Hebbian
1,29,0.008318429812788963,interleaved,Hebbian
1,30,0.008178506046533585,interleaved,Hebbian
1,31,0.008454611524939537,interleaved,Hebbian
1,32,0.008070539683103561,interleaved,Hebbian
1,33,0.007880469784140587,interleaved,Hebbian
1,34,0.007933368906378746,interleaved,Hebbian
1,35,0.00794082973152399,interleaved,Hebbian
1,36,0.009016500785946846,interleaved,Hebbian
1,37,0.008228456601500511,interleaved,Hebbian
1,38,0.00784391351044178,interleaved,Hebbian
1,39,0.007859872654080391,interleaved,Hebbian
1,40,0.007858115248382092,interleaved,Hebbian
2,0,0.06066974997520447,interleaved,Hebbian
2,1,0.018054189160466194,interleaved,Hebbian
