model,rt,error,size_condition,cat_condition,rand_condition,block_type
0,4.423527e-06,0.0,s_ma,c_ma,c_ms,blocked
0,3.5320309e-06,0.0,s_ma,c_ma,c_ma,blocked
0,9.14531e-06,0.0,s_ma,c_ma,c_ms,blocked
0,8.543558e-06,0.0,s_ma,c_ma,c_ms,blocked
0,0.31602645,0.0,s_ms,c_ma,c_ms,blocked
0,0.43473938,0.0,s_ms,c_ma,c_ma,blocked
0,0.25581372,0.0,s_ms,c_ma,c_ma,blocked
0,0.12995356,0.0,s_ms,c_ma,c_ms,blocked
0,0.15027335,0.0,s_ms,c_ma,c_ma,blocked
0,7.440036e-06,0.0,s_ma,c_ms,c_ma,blocked
0,0.0012204149,0.0,s_ma,c_ms,c_ms,blocked
0,4.239993e-05,0.0,s_ma,c_ms,c_ms,blocked
0,6.707334e-06,0.0,s_ma,c_ms,c_ma,blocked
0,7.151225e-06,0.0,s_ma,c_ms,c_ma,blocked
0,0.14067715,0.0,s_ms,c_ms,c_ms,blocked
0,0.17051783,0.0,s_ms,c_ms,c_ma,blocked
0,0.14660889,0.0,s_ms,c_ms,c_ms,blocked
0,0.1377887,0.0,s_ms,c_ms,c_ma,blocked
0,0.20905635,0.0,s_ms,c_ms,c_ms,blocked
0,4.7196872e-06,0.0,s_ma,c_ma,c_ms,blocked
0,1.5330337e-05,0.0,s_ma,c_ma,c_ms,blocked
0,2.4658925e-06,0.0,s_ma,c_ma,c_ma,blocked
0,2.2126718e-05,0.0,s_ma,c_ma,c_ma,blocked
0,0.27390853,0.0,s_ms,c_ma,c_ma,blocked
0,0.17360522,0.0,s_ms,c_ma,c_ms,blocked
0,0.19256258,0.0,s_ms,c_ma,c_ms,blocked
0,0.0925297,0.0,s_ms,c_ma,c_ma,blocked
0,0.028311778,0.0,s_ms,c_ma,c_ms,blocked
0,0.00011231048,0.0,s_ma,c_ms,c_ms,blocked
0,0.00040043588,0.0,s_ma,c_ms,c_ma,blocked
0,0.00044297188,0.0,s_ma,c_ms,c_ma,blocked
0,1.4807995e-05,0.0,s_ma,c_ms,c_ms,blocked
0,0.00011186239,0.0,s_ma,c_ms,c_ms,blocked
0,0.10004035,0.0,s_ms,c_ms,c_ma,blocked
0,0.11515751,0.0,s_ms,c_ms,c_ms,blocked
0,0.12584712,0.0,s_ms,c_ms,c_ma,blocked
0,0.100153565,0.0,s_ms,c_ms,c_ms,blocked
0,0.12742019,0.0,s_ms,c_ms,c_ma,blocked
0,3.836654e-06,0.0,s_ma,c_ma,c_ma,blocked
0,1.6591159e-05,0.0,s_ma,c_ma,c_ms,blocked
0,1.7829854e-05,0.0,s_ma,c_ma,c_ms,blocked
0,4.2050695e-05,0.0,s_ma,c_ma,c_ms,blocked
0,0.14612585,0.0,s_ms,c_ma,c_ms,blocked
0,0.15358995,0.0,s_ms,c_ma,c_ma,blocked
0,0.2575624,0.0,s_ms,c_ma,c_ma,blocked
0,0.29237288,0.0,s_ms,c_ma,c_ms,blocked
0,0.05627022,0.0,s_ms,c_ma,c_ma,blocked
0,9.364112e-05,0.0,s_ma,c_ms,c_ma,blocked
0,3.6509475e-05,0.0,s_ma,c_ms,c_ms,blocked
0,0.00033596135,0.0,s_ma,c_ms,c_ms,blocked
0,0.0004429511,0.0,s_ma,c_ms,c_ma,blocked
0,7.9428944e-05,0.0,s_ma,c_ms,c_ma,blocked
0,0.11979359,0.0,s_ms,c_ms,c_ms,blocked
0,0.15441158,0.0,s_ms,c_ms,c_ma,blocked
0,0.14334673,0.0,s_ms,c_ms,c_ms,blocked
0,0.19066614,0.0,s_ms,c_ms,c_ma,blocked
0,0.23117921,0.0,s_ms,c_ms,c_ms,blocked
0,9.5509195e-06,0.0,s_ma,c_ma,c_ms,blocked
0,2.1059386e-06,0.0,s_ma,c_ma,c_ma,blocked
0,1.703614e-05,0.0,s_ma,c_ma,c_ms,blocked
0,1.9891844e-05,0.0,s_ma,c_ma,c_ma,blocked
0,0.2672848,0.0,s_ms,c_ma,c_ma,blocked
0,0.3207084,0.0,s_ms,c_ma,c_ms,blocked
0,0.17880042,0.0,s_ms,c_ma,c_ms,blocked
0,0.27412394,0.0,s_ms,c_ma,c_ma,blocked
0,0.14915666,0.0,s_ms,c_ma,c_ms,blocked
0,0.00047397468,0.0,s_ma,c_ms,c_ms,blocked
0,6.0994164e-05,0.0,s_ma,c_ms,c_ma,blocked
0,0.00017486396,0.0,s_ma,c_ms,c_ma,blocked
0,1.7011898e-05,0.0,s_ma,c_ms,c_ms,blocked
0,3.836554e-05,0.0,s_ma,c_ms,c_ms,blocked
0,0.22143544,0.0,s_ms,c_ms,c_ma,blocked
0,0.46640843,0.0,s_ms,c_ms,c_ms,blocked
0,0.35923612,0.0,s_ms,c_ms,c_ma,blocked
0,0.21154758,0.0,s_ms,c_ms,c_ms,blocked
0,0.42018765,0.0,s_ms,c_ms,c_ma,blocked
0,9.143713e-06,0.0,s_ma,c_ma,c_ms,blocked
0,2.2107693e-05,0.0,s_ma,c_ma,c_ma,blocked
0,4.678983e-05,0.0,s_ma,c_ma,c_ms,blocked
0,2.0406203e-05,0.0,s_ma,c_ma,c_ma,blocked
0,0.28788793,0.0,s_ms,c_ma,c_ma,blocked
0,0.31018472,0.0,s_ms,c_ma,c_ms,blocked
0,0.3665937,0.0,s_ms,c_ma,c_ms,blocked
0,0.24034713,0.0,s_ms,c_ma,c_ma,blocked
0,0.16561341,0.0,s_ms,c_ma,c_ms,blocked
0,0.0004548023,0.0,s_ma,c_ms,c_ms,blocked
0,4.147147e-05,0.0,s_ma,c_ms,c_ma,blocked
0,0.0003601734,0.0,s_ma,c_ms,c_ma,blocked
0,0.00033100476,0.0,s_ma,c_ms,c_ms,blocked
0,8.687517e-06,0.0,s_ma,c_ms,c_ms,blocked
0,0.10673308,0.0,s_ms,c_ms,c_ma,blocked
0,0.11944683,0.0,s_ms,c_ms,c_ms,blocked
0,0.21395078,0.0,s_ms,c_ms,c_ma,blocked
0,0.18161593,0.0,s_ms,c_ms,c_ms,blocked
0,0.18008305,0.0,s_ms,c_ms,c_ma,blocked
0,0.59352535,1.0,s_ms,c_ma,c_ms,blocked
0,0.5939874,1.0,s_ms,c_ma,c_ma,blocked
0,0.8011784,1.0,s_ms,c_ma,c_ms,blocked
0,0.6421982,1.0,s_ms,c_ma,c_ma,blocked
0,0.6179837,1.0,s_ms,c_ma,c_ma,blocked
0,0.00036963547,0.0,s_ma,c_ma,c_ms,blocked
0,5.777045e-05,0.0,s_ma,c_ma,c_ms,blocked
0,0.00034080702,0.0,s_ma,c_ma,c_ma,blocked
0,0.00012887186,0.0,s_ma,c_ma,c_ms,blocked
0,0.16746397,0.0,s_ms,c_ms,c_ms,blocked
0,0.092942074,0.0,s_ms,c_ms,c_ma,blocked
0,0.23430264,0.0,s_ms,c_ms,c_ma,blocked
0,0.18971732,0.0,s_ms,c_ms,c_ms,blocked
0,0.16166441,0.0,s_ms,c_ms,c_ms,blocked
0,0.0019772223,0.0,s_ma,c_ms,c_ma,blocked
0,0.00024810457,0.0,s_ma,c_ms,c_ms,blocked
0,0.00022276716,0.0,s_ma,c_ms,c_ma,blocked
0,9.3971474e-05,0.0,s_ma,c_ms,c_ms,blocked
0,0.000190789,0.0,s_ma,c_ms,c_ma,blocked
0,0.48822808,0.0,s_ms,c_ma,c_ma,blocked
0,0.7150469,1.0,s_ms,c_ma,c_ms,blocked
0,0.7774581,1.0,s_ms,c_ma,c_ma,blocked
0,0.5586791,1.0,s_ms,c_ma,c_ms,blocked
0,0.5884951,1.0,s_ms,c_ma,c_ms,blocked
0,0.00038459315,0.0,s_ma,c_ma,c_ms,blocked
0,3.5178902e-05,0.0,s_ma,c_ma,c_ma,blocked
0,8.769623e-05,0.0,s_ma,c_ma,c_ms,blocked
0,0.0007016879,0.0,s_ma,c_ma,c_ma,blocked
0,0.085409276,0.0,s_ms,c_ms,c_ma,blocked
0,0.11371591,0.0,s_ms,c_ms,c_ms,blocked
0,0.10917951,0.0,s_ms,c_ms,c_ms,blocked
0,0.11462638,0.0,s_ms,c_ms,c_ma,blocked
0,0.102983385,0.0,s_ms,c_ms,c_ma,blocked
0,0.0008627963,0.0,s_ma,c_ms,c_ms,blocked
0,0.00024369889,0.0,s_ma,c_ms,c_ma,blocked
0,0.00021671804,0.0,s_ma,c_ms,c_ms,blocked
0,0.0005732571,0.0,s_ma,c_ms,c_ma,blocked
0,0.000104941006,0.0,s_ma,c_ms,c_ms,blocked
0,0.6398227,1.0,s_ms,c_ma,c_ma,blocked
0,0.7190349,1.0,s_ms,c_ma,c_ms,blocked
0,0.67476696,1.0,s_ms,c_ma,c_ma,blocked
0,0.7337878,1.0,s_ms,c_ma,c_ms,blocked
0,0.5396425,1.0,s_ms,c_ma,c_ms,blocked
0,5.0625615e-05,0.0,s_ma,c_ma,c_ms,blocked
0,3.4058496e-05,0.0,s_ma,c_ma,c_ma,blocked
0,6.471168e-05,0.0,s_ma,c_ma,c_ms,blocked
0,5.232185e-06,0.0,s_ma,c_ma,c_ma,blocked
0,0.19846673,0.0,s_ms,c_ms,c_ma,blocked
0,0.15111226,0.0,s_ms,c_ms,c_ms,blocked
0,0.29532838,0.0,s_ms,c_ms,c_ms,blocked
0,0.3350141,0.0,s_ms,c_ms,c_ma,blocked
0,0.33125183,0.0,s_ms,c_ms,c_ma,blocked
0,0.00013469359,0.0,s_ma,c_ms,c_ms,blocked
0,9.6500866e-05,0.0,s_ma,c_ms,c_ma,blocked
0,2.7609818e-05,0.0,s_ma,c_ms,c_ms,blocked
0,1.9493764e-05,0.0,s_ma,c_ms,c_ma,blocked
