model,epoch,size_error,bce_loss,threshold,source,condition,alpha,batch_size
ISC,0,0.25703927874565125,0.000571674550883472,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,1,0.25618666410446167,0.0003731688775587827,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,2,0.25258663296699524,0.0003553361166268587,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,3,0.24920397996902466,0.00029400477069430053,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,4,0.24759456515312195,0.00027408578898757696,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,5,0.24852845072746277,0.00029147323220968246,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,6,0.24869634211063385,0.00029631497454829514,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,7,0.24827195703983307,0.0003007488267030567,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,8,0.24367567896842957,0.000253197067650035,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,9,0.2414029985666275,0.00023951742332428694,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,10,0.24607183039188385,0.0002899884420912713,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,11,0.25130903720855713,0.0003851405344903469,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,12,0.24309298396110535,0.00028727788594551384,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,13,0.23672720789909363,0.0002584301109891385,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,14,0.22706547379493713,0.0002295164013048634,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,15,0.2138330340385437,0.0002036629302892834,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,16,0.203110471367836,0.00019045689259655774,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,17,0.18435552716255188,0.00017151942302007228,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
ISC,18,0.16615945100784302,0.00015140925825107843,0.18,experimental_setups.hebbian_model.bhvsim_experiment,same_train_set,,38
Oja,0,0.25917765498161316,0.0006335927755571902,0.18,experimental_setups.hebbian_model.bhvsim_experiment,blocked_train,0.8689655172413793,38
Oja,1,0.2590824365615845,0.0004318921419326216,0.18,experimental_setups.hebbian_model.bhvsim_experiment,blocked_train,0.8689655172413793,38
Oja,2,0.26466795802116394,0.0007298574200831354,0.18,experimental_setups.hebbian_model.bhvsim_experiment,blocked_train,0.8689655172413793,38
Oja,3,0.29962003231048584,0.0007009919499978423,0.18,experimental_setups.hebbian_model.bhvsim_experiment,blocked_train,0.8689655172413793,38
Oja,4,0.2546614706516266,0.0005012856563553214,0.18,experimental_setups.hebbian_model.bhvsim_experiment,blocked_train,0.8689655172413793,38
Oja,5,0.25657302141189575,0.00038748173392377794,0.18,experimental_setups.hebbian_model.bhvsim_experiment,blocked_train,0.8689655172413793,38
Oja,6,0.2529849112033844,0.0004121075617149472,0.18,experimental_setups.hebbian_model.bhvsim_experiment,blocked_train,0.8689655172413793,38
